,ccode,cname,con_true,labour_true,libdem_true,other_true,con_est,labour_est,libdem_est,other_est,winner,predicted_winner,correct
383,E14000913,Scarborough and Whitby,55.492317199707,34.838306427002,6.10972547531128,3.55964922904968,33.0762680199838,25.7279170835767,6.43392472772999,14.1164701184167,con,con,1
384,E14000914,Scunthorpe,53.7907295227051,36.7019844055176,2.31788086891174,7.18940389156342,29.9755447217094,24.2666383655576,10.3462868123312,11.2904391571546,con,con,1
385,E14000915,Sedgefield,47.1755790710449,36.3181457519531,4.7033634185791,11.8029156327248,32.1328297496253,20.052852510602,10.9629894012093,13.8016467450597,con,con,1
386,E14000916,Sefton Central,27.7751560211182,57.4960708618164,6.65487432479858,8.07389909029007,30.8419249803824,29.1347211633917,9.65612142002855,12.9354542462857,labour,con,0
387,E14000917,Selby and Ainsty,60.2555923461914,24.5630836486816,8.58236694335938,6.59895753860474,28.5507978551976,12.6409056136866,17.9842388271451,16.5534369135196,con,con,1
388,E14000918,Sevenoaks,60.7033500671387,13.6313676834106,19.8484973907471,5.81678307056427,28.518849986316,20.0098504789844,16.4782288186375,12.138470322469,con,con,1
389,E14000919,Sheffield Central,13.1498832702637,66.7177352905273,6.3579044342041,13.7744783759117,16.1486311245539,35.2494808608634,9.50020709244095,14.9000812828198,labour,labour,1
390,E14000920,Sheffield South East,35.8826599121094,46.0950508117676,5.05976486206055,12.9625222682953,21.8777209591141,27.3605341066897,11.0734682995537,15.0115896456653,labour,labour,1
391,E14000921,"Sheffield, Brightside and Hillsborough",25.4924240112305,56.487377166748,3.83080792427063,14.1893935203552,24.7924327496322,23.6450323569815,9.79406672415839,13.5772049789973,labour,con,0
392,E14000922,"Sheffield, Hallam",25.8345775604248,34.6470947265625,33.3954467773438,6.12287959456444,19.5680969373982,18.0507293724311,31.8206498907638,12.365603962392,labour,libdem,0
393,E14000923,"Sheffield, Heeley",30.3431301116943,50.2986297607422,6.82983922958374,12.5283994674683,24.4750378670218,30.2220820023708,9.37569208348682,14.0876536584152,labour,labour,1
394,E14000924,Sherwood,60.8036575317383,30.0954284667969,5.46965408325195,3.63125836849213,35.9850786278749,21.2919385234144,9.80866605989976,10.9705270402027,con,con,1
395,E14000925,Shipley,50.8054962158203,39.2470932006836,5.90326642990112,4.04414486885071,28.7661982081425,26.8115011229296,9.01671568772141,14.7616518067594,con,con,1
396,E14000926,Shrewsbury and Atcham,52.5201034545898,33.5291633605957,9.99915409088135,3.95157867670059,25.0693612233817,23.8487856460751,13.6680004128461,15.7370258982823,con,con,1
397,E14000927,Sittingbourne and Sheppey,67.5993347167969,19.9692573547363,6.25170230865479,6.17970943450928,34.2518420716372,16.325816395476,8.1350228867707,14.7340238872611,con,con,1
398,E14000928,Skipton and Ripon,59.4629096984863,19.1148433685303,14.8167695999146,6.60547649860382,39.3315617420373,16.8191029261711,12.7414302241591,11.2497475079704,con,con,1
399,E14000929,Sleaford and North Hykeham,67.1379623413086,18.2077713012695,8.04609775543213,6.60816788673401,38.2178587272071,13.8557689419884,15.8829044354825,9.9465690211078,con,con,1
400,E14000930,Slough,30.9201011657715,57.6452865600586,6.57745218276978,4.85716509819031,26.7811386468865,23.9764865829822,13.7803397221114,10.3492308646521,labour,con,0
401,E14000931,Solihull,58.3785057067871,19.9407348632812,18.0272483825684,3.65351247787476,35.9871228286159,19.5159662738384,12.9864051480826,11.1968051660585,con,con,1
402,E14000932,Somerton and Frome,55.8277854919434,12.8729047775269,26.2219543457031,5.07735443115234,27.374417027916,14.065217256565,26.4528255206836,11.4275082954771,con,con,1
403,E14000933,South Basildon and East Thurrock,66.1699447631836,22.1891078948975,4.32037448883057,7.32057332992554,30.3871612733856,15.9697419331388,9.67243917764508,15.4293402608225,con,con,1
404,E14000934,South Cambridgeshire,46.3401527404785,11.6586227416992,42.0012283325195,0.0,24.8590766196873,15.5512370572303,25.7580050631053,11.883441428747,con,libdem,0
405,E14000935,South Derbyshire,62.7601547241211,26.5394058227539,7.35092973709106,3.34950637817383,33.8117543653438,18.4130471748825,11.1889466928557,13.364721282261,con,con,1
406,E14000936,South Dorset,58.8037147521973,25.2085857391357,10.6388816833496,5.34881919622421,32.9239252075432,18.1290448841209,12.704860094874,13.7698789593989,con,con,1
407,E14000937,South East Cambridgeshire,49.9914588928223,16.2957210540771,32.1456832885742,1.5671352148056,28.1878748428685,17.0740513570508,23.3973782496526,10.7259331576902,con,con,1
408,E14000938,South East Cornwall,59.2805862426758,20.1956939697266,16.1215171813965,4.40219926834106,39.1757030863162,15.1149568291244,15.2694069459919,10.0313357686459,con,con,1
409,E14000939,South Holland and The Deepings,75.9226531982422,13.217022895813,6.55767679214478,4.30264925956726,36.9406806844454,14.1014172804917,9.6756732919686,12.9150179527139,con,con,1
410,E14000940,South Leicestershire,64.0188598632812,22.2502555847168,9.48685455322266,4.24402713775635,40.5817882971786,14.1077328769603,11.1248088925382,10.9558570113277,con,con,1
